1|1||||||||
2|2||||||||
3|2|1|||||||
4|3|2|||||||
5|3|2|1||||||
6|3|3|2||||||
7|4|3|2|1|||||
8|4|3|3|2|||||
9|4|4|3|2|1||||
10|4|4|3|3|2||||
11|5|4|4|3|2|1|||
12|5|4|4|3|3|2|||
13|5|5|4|4|3|2|1||
14|5|5|4|4|3|3|2||
15|5|5|5|4|4|3|2|1|
16|6|5|5|4|4|3|3|2|
17|6|5|5|5|4|4|3|2|1
18|6|6|5|5|4|4|3|3|2
19|6|6|5|5|5|4|4|3|2
20|6|6|6|5|5|4|4|3|3
21|6|6|6|5|5|5|4|4|3
22|7|6|6|6|5|5|4|4|3
23|7|6|6|6|5|5|5|4|4
24|7|7|6|6|6|5|5|4|4
25|7|7|6|6|6|5|5|5|4
26|7|7|7|6|6|6|5|5|4
27|7|7|7|6|6|6|5|5|5
28|7|7|7|7|6|6|6|5|5
29|8|7|7|7|6|6|6|5|5
30|8|7|7|7|7|6|6|6|5
31|8|8|7|7|7|6|6|6|5
32|8|8|7|7|7|7|6|6|6
33|8|8|8|7|7|7|6|6|6
34|8|8|8|7|7|7|7|6|6
35|8|8|8|8|7|7|7|6|6
36|8|8|8|8|7|7|7|7|6
37|9|8|8|8|8|7|7|7|6
38|9|8|8|8|8|7|7|7|7
39|9|9|8|8|8|8|7|7|7
40|9|9|8|8|8|8|7|7|7
