1|1||||||
2|2||||||
3|2|1|||||
4|3|2|||||
5|3|3|1||||
6|3|3|2||||
7|3|3|2|1|||
8|3|3|3|2|||
9|4|4|3|2|1||
10|4|4|3|3|2||
11|5|4|4|3|2|1|
12|6|5|5|3|2|2|
13|6|6|6|4|2|2|
14|6|6|6|5|3|2|1
15|6|6|6|6|4|2|1
16|7|7|7|6|4|3|1
17|7|7|7|7|5|3|2
18|8|8|8|8|6|4|2
19|9|9|8|8|6|4|2
20|9|9|9|8|7|5|2
21|9|9|9|9|8|6|2
22|9|9|9|9|9|6|3
23|9|9|9|9|9|7|3
24|9|9|9|9|9|8|3
25|9|9|9|9|9|8|4
26|9|9|9|9|9|9|4
27|9|9|9|9|9|9|5
28|9|9|9|9|9|9|6
29|9|9|9|9|9|9|7
30|9|9|9|9|9|9|8
31|10|10|9|9|9|9|8
32|10|10|10|9|9|9|8
33|10|10|10|10|9|9|9
34|11|11|10|10|9|9|9
35|11|11|10|10|10|10|9
36|11|11|11|11|10|10|10
37|12|12|11|11|10|10|10
38|12|12|11|11|11|11|10
39|12|12|12|12|11|11|11
40|13|13|13|12|12|11|11
