2|1||||||
3|2||||||
4|2|1|||||
5|3|1|||||
6|3|2|||||
7|3|2|1||||
8|3|3|1||||
9|3|3|2||||
10|3|3|2|1|||
11|3|3|3|1|||
12|3|3|3|2|||
13|3|3|3|2|1||
14|3|3|3|3|1||
15|3|3|3|3|2||
16|4|3|3|3|2|1|
17|4|4|3|3|3|1|
18|4|4|4|3|3|2|
19|4|4|4|4|3|2|
20|4|4|4|4|4|3|
21|5|4|4|4|4|4|
22|5|5|4|4|4|4|
23|5|5|5|4|4|4|
24|5|5|5|5|4|4|
25|5|5|5|5|4|4|1
26|5|5|5|5|5|4|1
27|5|5|5|5|5|5|1
28|6|5|5|5|5|5|1
29|6|6|5|5|5|5|1
30|6|6|6|5|5|5|1
31|6|6|6|5|5|5|2
32|6|6|6|6|6|5|2
33|6|6|6|6|6|5|2
34|6|6|6|6|6|6|2
35|6|6|6|6|6|6|2
36|7|6|6|6|6|6|2
37|7|7|6|6|6|6|2
38|7|7|6|6|6|6|3
39|7|7|7|6|6|6|3
40|7|7|7|7|6|6|3
