1|1||||||||
2|2||||||||
3|2|1|||||||
4|3|2|||||||
5|4|2|1||||||
6|4|2|2||||||
7|4|3|2|1|||||
8|4|3|3|2|||||
9|4|3|3|2|1||||
10|4|4|3|2|2||||
11|4|4|4|3|3||||
12|4|4|4|4|4|1|||
13|5|5|5|4|4|2|||
14|5|5|5|4|4|2|1||
15|5|5|5|5|5|2|1||
16|5|5|5|5|5|3|2|1|
17|5|5|5|5|5|3|3|2|
18|5|5|5|5|5|3|3|2|1
19|5|5|5|5|5|3|3|3|1
20|5|5|5|5|5|4|3|3|2
21|5|5|5|5|5|4|4|4|2
22|5|5|5|5|5|5|4|4|3
23|5|5|5|5|5|5|5|5|3
24|5|5|5|5|5|5|5|5|4
25|5|5|5|5|5|5|5|5|4
26|6|6|6|6|6|5|5|5|5
27|6|6|6|6|6|6|6|5|5
28|6|6|6|6|6|6|6|6|6
29|7|7|7|7|7|6|6|6|6
30|7|7|7|7|7|7|7|6|6
31|7|7|7|7|7|7|7|7|7
32|7|7|7|7|7|7|7|7|7
33|7|7|7|7|7|7|7|7|7
34|8|8|8|8|8|7|7|7|7
35|8|8|8|8|8|8|8|7|7
36|8|8|8|8|8|8|8|8|8
37|8|8|8|8|8|8|8|8|8
38|8|8|8|8|8|8|8|8|8
39|9|9|9|9|9|8|8|8|8
40|9|9|9|9|9|9|9|8|8
